Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
4	ENSG00000000003	0.92	0.92	0.735	0.84	0.393333333333333	0.572	0.233333333333333	0.5	0.66	0.6	0.71	0.473333333333333	0.78	0.46	0.45	0.5	0.3	0.16	0.3	0.56	0.09
2	ENSG00000000419	0.865	0.88	0.635	0.52	0.366666666666667	0.544	0.16	0.44	0.48	0.16	0.79	0.413333333333333	0.64	0.57	0.75	0.88	0.36	0.12	0.753333333333333	0.34	0.25
8	ENSG00000000457	0.965	0.72	0.65	0.7	0.366666666666667	0.416	0.126666666666667	0.15	0.58	0.34	0.69	0.446666666666667	0.566666666666667	0.66	0.57	0.88	0.68	0.24	0.713333333333333	0.8	0.38
9	ENSG00000000460	0.96	0.71	0.645	0.913333333333333	0.573333333333333	0.62	0.366666666666667	0.51	0.84	0.72	0.71	0.666666666666667	0.66	0.28	0.1	0.12	0.04	0.06	0.153333333333333	0.24	0.11
7	ENSG00000001036	0.955	0.94	0.72	0.813333333333333	0.433333333333333	0.504	0.413333333333333	0.54	0.7	0.58	0.6	0.326666666666667	0.493333333333333	0.73	0.26	0.28	0.1	0.04	0.206666666666667	0.2	0.04
2	ENSG00000001084	0.32	0.29	0.535	0.726666666666667	0.723333333333333	0.7	0.486666666666667	0.56	0.98	0.82	0.92	0.86	0.846666666666667	0.13	0.45	0.62	0.24	0.12	0.28	0.46	0.1
1	ENSG00000001167	0.97	0.72	0.74	0.846666666666667	0.563333333333333	0.54	0.346666666666667	0.47	0.82	0.64	0.82	0.706666666666667	0.686666666666667	0.37	0.21	0.42	0.18	0.1	0.16	0.32	0.07
2	ENSG00000001461	0.66	0.42	0.655	0.913333333333333	0.66	0.668	0.393333333333333	0.61	0.84	0.74	0.92	0.84	0.786666666666667	0.3	0.17	0.18	0.16	0.04	0.133333333333333	0.12	0.21
9	ENSG00000001497	0.97	0.58	0.805	0.873333333333333	0.63	0.456	0.533333333333333	0.43	0.52	0.56	0.72	0.546666666666667	0.34	0.2	0.1	0.22	0.12	0.04	0.126666666666667	0.16	0.15
4	ENSG00000001617	0.965	0.8	0.68	0.833333333333333	0.57	0.344	0.406666666666667	0.47	0.26	0.38	0.48	0.566666666666667	0.353333333333333	0.73	0.49	0.5	0.1	0.04	0.36	0.02	0.11
