"","Phylostratum","GeneID","Zygote","Quadrant","Globular","Heart","Torpedo","Bent","Mature"
"1",1,"at1g01040.2",2173.635205,1911.200145,1152.555283,1291.422445,1000.252931,962.977223,1696.427421
"2",1,"at1g01050.1",1501.014084,1817.308557,1665.308874,1564.761244,1496.320663,1114.643547,1071.655487
"3",1,"at1g01070.1",1212.792724,1233.002267,939.2000456,929.6195012,864.2180087,877.2060012,894.8189171
"4",1,"at1g01080.2",1016.920321,936.3837174,1181.338144,1329.473434,1392.642854,1287.97459,861.2604885
"5",1,"at1g01090.1",11424.56668,16778.16846,34366.64935,39775.64053,56231.56892,66980.36733,7772.561656
"6",1,"at1g01120.1",844.0413821,787.5928851,859.6267328,931.6179798,942.8452686,870.262452,792.754226
"7",1,"at1g01180.1",1003.110196,1095.72006,1329.951058,1065.560273,1006.982629,1268.879891,1467.024348
"8",1,"at1g01190.1",827.5711059,764.6320946,698.7656371,715.2263533,696.3268389,669.7863948,733.4001494
"9",1,"at1g01200.1",903.9973086,802.2732085,765.5864446,796.025717,719.4408714,698.4808665,990.7592656
"10",1,"at1g01210.1",2916.069998,4558.355705,2949.6307,2921.460618,2120.653955,1443.755121,1347.761204
"11",1,"at1g01220.1",881.1928519,829.0929329,894.6108827,936.4050247,846.2609448,793.6664953,821.6062799
"12",1,"at1g01280.1",959.6673257,896.1690529,992.7787611,1016.433125,879.6115185,834.2850365,850.4775704
"13",1,"at1g01290.1",2285.826409,1826.637418,2080.702964,2061.713447,1871.290178,1681.680222,1522.761047
"14",1,"at1g01310.1",688.1134426,709.9617555,644.7473734,695.5615686,635.0508464,596.0423064,618.813838
"15",1,"at1g01320.1",827.2216635,751.1099529,799.0867356,797.734259,740.7836219,756.6157074,778.8728653
"16",1,"at1g01340.2",1188.186605,1056.077062,980.5988291,960.7375245,918.2507741,957.8798704,1050.784898
"17",1,"at1g01440.1",854.8822706,765.0968683,671.7092024,788.402835,710.9093864,682.4514243,708.8919689
"18",1,"at1g01470.1",815.918389,805.9603072,927.2453947,912.7987601,819.4061376,1316.085024,17220.65171
"19",1,"at1g01480.1",1270.080381,1156.390002,1413.895522,1518.754336,1370.005783,1292.110939,1355.027799
"20",1,"at1g01510.1",1689.159407,1809.408508,1763.471134,2000.539621,1923.635282,1846.846409,1853.185389
"21",1,"at1g01580.1",783.5552403,779.9293946,952.2677452,983.862355,1011.404172,941.7605023,835.2719374
