,GeneID
35,ENSG00000003987
38,ENSG00000004139
43,ENSG00000004487
53,ENSG00000004864
73,ENSG00000005379
94,ENSG00000006042
107,ENSG00000006468
117,ENSG00000006712
123,ENSG00000006757
127,ENSG00000007080
129,ENSG00000007171
164,ENSG00000008324
181,ENSG00000009780
195,ENSG00000010295
200,ENSG00000010361
215,ENSG00000011143
233,ENSG00000011485
236,ENSG00000012048
249,ENSG00000013374
251,ENSG00000013441
300,ENSG00000021300
322,ENSG00000024048
339,ENSG00000027075
349,ENSG00000029153
355,ENSG00000029993
358,ENSG00000030582
360,ENSG00000031698
416,ENSG00000039139
417,ENSG00000039319
433,ENSG00000041802
436,ENSG00000041988
454,ENSG00000044524
461,ENSG00000047056
462,ENSG00000047188
497,ENSG00000049246
502,ENSG00000049656
511,ENSG00000050344
522,ENSG00000051108
527,ENSG00000051620
532,ENSG00000052802
534,ENSG00000053108
562,ENSG00000055118
600,ENSG00000058453
636,ENSG00000061794
639,ENSG00000061938
646,ENSG00000062582
667,ENSG00000063978
671,ENSG00000064199
672,ENSG00000064225
675,ENSG00000064313
678,ENSG00000064490
734,ENSG00000066032
742,ENSG00000066248
743,ENSG00000066294
754,ENSG00000066697
767,ENSG00000067113
777,ENSG00000067334
780,ENSG00000067445
784,ENSG00000067606
790,ENSG00000067842
798,ENSG00000068079
800,ENSG00000068120
804,ENSG00000068323
823,ENSG00000068971
838,ENSG00000069667
844,ENSG00000069966
849,ENSG00000070081
854,ENSG00000070269
878,ENSG00000070814
895,ENSG00000071539
903,ENSG00000071889
918,ENSG00000072274
929,ENSG00000072682
948,ENSG00000073350
982,ENSG00000074657
985,ENSG00000074706
986,ENSG00000074755
987,ENSG00000074800
992,ENSG00000075035
1009,ENSG00000075391
1016,ENSG00000075429
1019,ENSG00000075618
1030,ENSG00000075975
1034,ENSG00000076067
1037,ENSG00000076242
1053,ENSG00000076826
1056,ENSG00000076928
1061,ENSG00000077092
1080,ENSG00000077514
1085,ENSG00000077713
1094,ENSG00000078070
1095,ENSG00000078098
1097,ENSG00000078124
1099,ENSG00000078142
1108,ENSG00000078403
1109,ENSG00000078487
1118,ENSG00000078902
1138,ENSG00000079482
1139,ENSG00000079616
1141,ENSG00000079691
1153,ENSG00000080200
1172,ENSG00000080845
1197,ENSG00000081870
1203,ENSG00000082153
1205,ENSG00000082212
1222,ENSG00000082996
1233,ENSG00000083457
1235,ENSG00000083535
1236,ENSG00000083544
1237,ENSG00000083642
1249,ENSG00000083937
1264,ENSG00000084676
1268,ENSG00000084733
1277,ENSG00000085276
1284,ENSG00000085465
1289,ENSG00000085644
1292,ENSG00000085760
1313,ENSG00000086570
1325,ENSG00000087074
1346,ENSG00000087302
1349,ENSG00000087365
1373,ENSG00000088682
1375,ENSG00000088756
1385,ENSG00000088888
1390,ENSG00000089006
1403,ENSG00000089123
1410,ENSG00000089195
1411,ENSG00000089199
1445,ENSG00000090273
1463,ENSG00000090857
1475,ENSG00000091127
1476,ENSG00000091129
1484,ENSG00000091436
1486,ENSG00000091490
1488,ENSG00000091527
1509,ENSG00000092148
1544,ENSG00000094880
1563,ENSG00000095485
1570,ENSG00000095739
1574,ENSG00000095906
1590,ENSG00000097007
1595,ENSG00000099139
1596,ENSG00000099203
1599,ENSG00000099246
1601,ENSG00000099256
1612,ENSG00000099364
1632,ENSG00000099866
1642,ENSG00000099949
1644,ENSG00000099956
1669,ENSG00000100075
1681,ENSG00000100109
1699,ENSG00000100216
1705,ENSG00000100226
1709,ENSG00000100242
1729,ENSG00000100319
1747,ENSG00000100376
1750,ENSG00000100393
1752,ENSG00000100399
1761,ENSG00000100422
1762,ENSG00000100425
1768,ENSG00000100442
1779,ENSG00000100519
1783,ENSG00000100528
1786,ENSG00000100564
1797,ENSG00000100603
1807,ENSG00000100678
1810,ENSG00000100714
1818,ENSG00000100784
1838,ENSG00000100941
1840,ENSG00000100982
1845,ENSG00000101000
1865,ENSG00000101146
1892,ENSG00000101266
1900,ENSG00000101335
1911,ENSG00000101391
1952,ENSG00000101811
1965,ENSG00000101938
1969,ENSG00000101972
1979,ENSG00000102038
1992,ENSG00000102144
1995,ENSG00000102178
2004,ENSG00000102271
2008,ENSG00000102312
2009,ENSG00000102316
2019,ENSG00000102401
2038,ENSG00000102755
2050,ENSG00000102882
2054,ENSG00000102898
2062,ENSG00000102931
2077,ENSG00000103035
2085,ENSG00000103064
2087,ENSG00000103091
2114,ENSG00000103260
2119,ENSG00000103275
2120,ENSG00000103316
2133,ENSG00000103460
2144,ENSG00000103544
2155,ENSG00000103723
2176,ENSG00000104129
2185,ENSG00000104228
2187,ENSG00000104267
2201,ENSG00000104365
2210,ENSG00000104427
2211,ENSG00000104435
2216,ENSG00000104490
2224,ENSG00000104635
2225,ENSG00000104643
2245,ENSG00000104853
2246,ENSG00000104856
2260,ENSG00000104899
2275,ENSG00000104980
2328,ENSG00000105383
2331,ENSG00000105401
2338,ENSG00000105438
2339,ENSG00000105443
2349,ENSG00000105538
2367,ENSG00000105655
2385,ENSG00000105732
2397,ENSG00000105819
2399,ENSG00000105829
2400,ENSG00000105835
2407,ENSG00000105880
2459,ENSG00000106344
2462,ENSG00000106367
2471,ENSG00000106460
