Entry	Araport
A0A0A7EPL0	AT1G08910;
A0A178UFM8	AT5G51560;
A0A178VEK7	AT3G60460;
A0A178WF56	AT1G56060;
A0A1I9LMX5	AT3G50610;
A0A1I9LN01	AT3G55850;
A0A1P8AQ95	AT1G65486;
A0A1P8ASY1	AT1G08840;
A0A1P8AUY4	AT1G67120;
A0A1P8AW69	AT1G11160;
A0A2H1ZEF6	AT1G80390;
A0A7G2F3P2	
A0JQ18	AT1G22890;
A0MES8	AT2G40220;
A0SVK0	AT5G45830;
A1A6H3	AT1G17160;
A1A6M1	AT4G13670;
A1YKT1	AT3G18550;
A2RVJ8	AT5G10010;
A2RVK7	AT4G27490;
A2RVM0	AT4G23430;
A2RVQ5	AT3G57230;
A2RVU1	AT1G31720;
A3EWL3	AT5G44750;
A3KPF2	AT5G49020;
A4FVP2	AT4G16740;
A4FVP6	AT1G34180;
A4GNA8	AT4G25970;
A4GSN8	AT1G79280;
A5HEI1	AT5G15540;
A7UL74	AT4G31400;
A7WM73	AT3G55260;
A7XDQ9	AT4G21060;
A7XGN8	
A8MPR5	AT3G16290;
A8MQA5	AT1G10717;
A8MQL1	AT1G04300;
A8MQL9	AT4G09960;
A8MQN2	AT5G64170;
A8MQY1	AT4G01540;
A8MR65	AT5G02200;
A8MR93	AT1G02145;
A8MRD9	AT1G80810;
A8MRX0	AT1G12140;
A8MS41	AT1G31500;
A8MS68	AT3G16950;
A8MS85	AT1G65440;
A8R7E6	AT3G21630;
A8R7K9	AT3G51310;
A9LLI7	AT5G35910;
A9LNK9	AT1G30460;
A9QM73	AT5G19400;
B0F481	AT5G57590;
B0F9L4	AT3G27530;
B3DNN5	AT1G78770;
B3GS44	AT4G26466;
B3H4G8	AT1G52150;
B3H4Y2	AT1G65484;
B3H5A9	AT5G66816;
B3H5J1	AT5G51451;
B3H5K9	AT5G05970;
B3H754	AT2G38220;
B3H7A9	AT1G23240;
B3H7I1	AT5G44585;
B3LF48	AT4G05520;
B5BT18	AT3G54280;
B5X0I6	AT2G06210;
B5X4Z9	AT2G16750;
B5X582	AT1G30680;
B6EUA9	AT1G44910;
B6EUB3	AT5G47690;
B6SFA4	AT4G15570;
B7U179	AT5G13060;
B7ZWR6	AT5G21990;
B8XCH5	AT1G74720;
B9DFA8	AT3G06500;
B9DFG3	AT1G70070;
B9DFG5	AT3G59350;
B9DFK5	AT2G37860;
B9DFS6	AT5G07120;
B9DFU2	AT2G26170;
B9DFX7	AT5G21930;
B9DFZ0	AT1G05900;
B9DGD6	AT5G36880;
B9DGI8	AT5G28770;
B9DGT7	AT1G50010;
B9DGU7	AT1G02880;
B9DGY1	AT3G07700;
B9DHQ0	AT5G19780;
B9DHT4	AT5G19330;
B9TSP7	AT3G56700;
C0LGE0	AT1G07650;
C0LGF4	AT1G31420;
C0LGF5	AT1G34110;
C0LGG6	AT1G51890;
C0LGG8	AT1G53430;
C0LGH8	AT1G63430;
C0LGI5	AT1G69990;
C0LGJ1	AT1G74360;
C0LGJ9	AT2G02780;
C0LGL4	AT2G28960;
C0LGL9	AT2G35620;
C0LGN2	AT3G14840;
C0LGP2	AT3G46330;
C0LGP9	AT3G56100;
C0LGQ4	AT4G18640;
C0LGQ5	AT4G20140;
C0LGQ9	AT4G20940;
C0LGR3	AT4G26540;
C0LGR6	AT4G29180;
C0LGR9	AT4G31250;
C0LGS2	AT4G36180;
C0LGS3	AT4G37250;
C0LGT1	AT5G10290;
C0LGT6	AT5G20480;
C0LGU0	AT5G35390;
C0LGU5	AT5G45780;
C0LGU7	AT5G45840;
C0LGV1	AT5G48940;
C0LGW2	AT5G59650;
C0LGW6	AT5G62230;
C0LGX3	AT5G65710;
C0LU16	AT4G04780;
C0SUT9	AT1G08620;
C0SV12	AT1G62310;
C0Z2L5	AT1G75390;
C5H8J1	AT2G22140;
C6KIE6	AT4G34390;
C8KI33	AT5G45610;
D1KF50	AT4G25120;
D2WL32	AT3G20440;
D7SFH9	AT1G66980;
E1B328	
E3VNM4	AT5G06839;
E5KGE0	AT2G42160;
F2Y4A3	AT4G21534;
F4HPR5	AT1G53140;
F4HPZ9	AT1G66730;
F4HQ84	AT1G73430;
F4HQA1	AT1G79730;
F4HQE2	AT1G79950;
F4HQG6	AT1G01040;
F4HQM3	AT1G07380;
F4HRI2	AT1G53490;
F4HRJ4	AT1G53570;
F4HRT5	AT1G67230;
F4HRV8	AT1G67370;
F4HS99	AT1G01320;
F4HT77	AT1G47370;
F4HTH8	AT1G61210;
F4HTM3	AT1G67490;
F4HU51	AT1G01710;
F4HU55	AT1G01740;
F4HU58	AT1G01760;
F4HVA6	AT1G54360;
F4HVG8	AT1G67840;
F4HVJ3	AT1G67960;
F4HVS0	AT1G74770;
F4HVW5	AT1G02120;
F4HVY0	AT1G02205;
F4HW04	AT1G08260;
F4HW51	AT1G08600;
F4HWY6	AT1G54560;
F4HX15	AT1G61850;
F4HXL0	AT1G02660;
F4HXP9	AT1G08730;
F4HXU3	AT1G14760;
F4HXY7	AT1G15110;
F4HXZ1	AT1G15130;
F4HY56	AT1G28420;
F4HYF3	AT1G48420;
F4HZB2	AT1G03060;
F4HZD1	AT1G09060;
F4HZG9	AT1G09300;
F4I096	AT1G55325;
F4I0K2	AT1G69200;
F4I171	AT1G15780;
F4I1S7	AT1G49540;
F4I1T7	AT1G55540;
F4I240	AT1G63490;
F4I2H7	AT1G03780;
F4I2J8	AT1G03910;
F4I2N7	AT1G09970;
F4I313	AT1G22870;
F4I316	AT1G22882;
F4I3P9	AT1G63680;
F4I3V6	AT1G69935;
F4I443	AT1G04020;
F4I460	AT1G04160;
F4I4F2	AT1G16440;
F4I4K5	AT1G23010;
F4I562	AT1G56590;
F4I570	AT1G63900;
F4I5N6	AT1G04450;
F4I5V8	AT1G10670;
F4I6G4	AT1G30810;
F4I6M1	AT1G50840;
F4I718	AT1G77460;
F4I735	AT1G77600;
F4I7C7	AT1G11060;
F4I7I0	AT1G17290;
F4I7Y4	AT1G50990;
F4I893	AT1G64790;
F4I8I0	AT1G71360;
F4I902	AT1G17610;
F4I907	AT1G17650;
F4I9A2	AT1G24460;
F4I9G2	AT1G42430;
F4I9J7	AT1G51510;
F4IAG2	AT1G11720;
F4IAT2	AT1G24706;
F4IAX0	AT1G31690;
F4IAX1	AT1G31710;
F4IB81	AT1G51940;
F4ICB6	AT1G18670;
F4ICF4	AT1G25290;
F4ICK8	AT1G32130;
F4ICX9	AT1G52410;
F4IDB2	AT1G72390;
F4IDC2	AT1G72440;
F4IDI6	AT1G79110;
F4IDQ6	AT1G06670;
F4IDS7	AT1G12470;
F4IDU4	AT1G12640;
F4IDW9	AT1G12790;
F4IDY5	AT1G18910;
F4IE66	AT1G26370;
F4IED2	AT1G32870;
F4IEM5	AT1G52920;
F4IF36	AT1G79350;
F4IFM6	AT2G20990;
F4IFN6	AT2G27120;
F4IGZ2	AT2G40130;
F4IH25	AT2G40360;
F4IH31	AT2G40410;
F4IHS2	AT2G28290;
F4IHS9	AT2G28315;
F4IHY7	AT2G34640;
F4II77	AT2G46370;
F4IIM1	AT2G22125;
F4IIS5	AT2G28620;
F4IIU4	AT2G34680;
F4IMH3	AT2G17250;
F4IN23	AT2G42380;
F4IN69	AT2G48110;
F4IPE3	AT2G01940;
F4IPK2	AT2G18000;
F4IPY2	AT2G31170;
F4IQV7	AT2G31530;
F4IRB4	AT2G02820;
F4IRR2	AT2G31660;
F4IS32	AT2G43710;
F4IS56	AT2G43850;
F4IS91	AT2G03150;
F4ISL7	AT2G25660;
F4ISV9	AT2G38195;
F4ITL6	AT2G26070;
F4ITM1	AT2G26130;
F4IUX6	AT2G39260;
F4IV16	AT2G44750;
F4IV66	AT2G04270;
F4IVI0	AT2G20635;
F4IVL6	AT2G26890;
F4IVV0	AT2G33460;
F4IW47	AT2G45290;
F4IX26	AT3G62030;
F4IXE7	AT3G14980;
F4IXW2	AT3G43300;
F4IY62	AT3G56040;
F4IYM4	AT3G09090;
F4IZR5	AT3G03110;
F4J061	AT3G22190;
F4J077	AT3G22270;
F4J0D2	AT3G28690;
F4J0W4	AT3G63150;
F4J117	AT3G01510;
F4J220	AT3G50920;
F4J264	AT3G57190;
F4J2K2	AT3G10160;
F4J2U9	AT3G23070;
F4J339	AT3G44480;
F4J3N2	AT3G04340;
F4J3R7	AT3G10420;
F4J3T8	AT3G10550;
F4J4C8	AT3G45040;
F4J7T2	AT3G24870;
F4J7T3	AT3G24880;
F4J8C6	AT3G01310;
F4J8D3	AT3G01780;
F4J8G7	AT3G05680;
F4J9M5	AT3G06010;
F4JAA5	AT3G46960;
F4JAU3	AT3G06300;
F4JBX1	AT3G60650;
F4JCB2	AT3G19600;
F4JCC1	AT3G19670;
F4JCN9	AT3G47710;
F4JCU0	AT3G54230;
F4JCX9	AT3G54500;
F4JEI8	AT3G13782;
F4JEP5	AT3G20475;
F4JF14	AT3G42660;
F4JFN3	AT3G07770;
F4JFU8	AT3G14360;
F4JGP4	AT4G05190;
F4JGR5	AT4G04040;
F4JGZ1	AT4G04920;
F4JHA2	AT4G02260;
F4JHH5	AT4G02350;
F4JI44	AT4G03090;
F4JI72	AT4G03250;
F4JIN3	AT4G21180;
F4JIX9	AT4G33430;
F4JJ15	AT4G33650;
F4JJL0	AT4G21585;
F4JJL3	AT4G21600;
F4JKB6	AT4G21900;
F4JKH6	AT4G28080;
F4JKK0	AT4G34100;
F4JL11	AT4G16143;
F4JL28	AT4G22140;
F4JLC1	AT4G28590;
F4JLE5	AT4G34580;
F4JLP5	AT4G16155;
F4JLZ6	AT4G22755;
F4JN35	AT4G35580;
F4JNX3	AT4G35987;
F4JNY0	AT4G36050;
F4JP36	AT4G11720;
F4JP48	AT4G17380;
F4JP52	AT4G17410;
F4JPW1	AT4G12030;
F4JQH3	AT4G36760;
F4JQZ3	AT4G24580;
F4JRB0	AT4G37180;
F4JRE7	AT4G12720;
F4JRS4	AT4G24970;
F4JS25	AT4G37460;
F4JSE7	AT4G19040;
F4JSH1	AT4G19180;
F4JT76	AT4G19490;
F4JTE7	AT4G25840;
F4JTN2	AT4G38360;
F4JTP5	AT4G38470;
F4JTS8	AT4G13750;
F4JUI3	AT4G38910;
F4JUU5	AT4G20310;
F4JUY5	AT4G26420;
F4JVH1	AT4G14510;
F4JVI3	AT4G14605;
F4JVN6	AT4G20850;
F4JW79	AT5G04290;
F4JWB3	AT5G04540;
F4JXF1	AT5G59980;
F4JY12	AT5G18525;
F4JY24	AT5G18620;
F4JY37	AT5G18700;
F4JYC8	AT5G35210;
F4JYE9	AT5G41480;
F4JYG0	AT5G41580;
F4JZC2	AT5G05460;
F4JZG9	AT5G12130;
F4JZW1	AT5G35580;
F4JZY1	AT5G41790;
F4K0A6	AT5G54280;
F4K0E8	AT5G60600;
F4K128	AT5G19310;
F4K1J4	AT5G42400;
F4K2A1	AT5G05980;
F4K2E9	AT5G13010;
F4K2R6	AT5G26920;
F4K3E4	AT5G55230;
F4K3F4	AT5G55300;
F4K3G5	AT5G55390;
F4K410	AT5G13650;
F4K4E3	AT5G27720;
F4K5J1	AT5G20490;
F4K5T2	AT5G28030;
F4K5X6	AT5G37260;
F4K6B6	AT5G56030;
F4K6B8	AT5G56040;
F4K7C5	AT5G43900;
F4K7D6	AT5G43940;
F4K933	AT5G56780;
F4KAB8	AT5G44635;
F4KAF2	AT5G50780;
F4KAK5	AT5G57190;
F4KAN2	AT5G57360;
F4KB17	AT5G08390;
F4KBF5	AT5G23070;
